English,Farsi,Source
"Accessible Role
","نقش دسترسی‌پذیری
",Ubuntu
"The accessible role of this object
","نقش دسترسی‌پذیری این شیء
",Ubuntu
"Accessible Layer
","لایه‌ی دسترسی‌پذیری
",Ubuntu
"The accessible layer of this object
","لایه‌ی دسترسی‌پذیری این شیء
",Ubuntu
"Accessible MDI Value
","مقدار MDI دسترسی‌پذیری
",Ubuntu
"The accessible MDI value of this object
","مقدار MDI دسترسی‌پذیری این شیء
",Ubuntu
"Accessible Table Caption
","عنوان جدول دسترسی‌پذیری
",Ubuntu
"Is used to notify that the table caption has changed; this property should not be used. accessible-table-caption-object should be used instead
","برای اطلاع دادن از تغییر عنوان جدول استفاده می‌شود؛ نباید این ویژگی را به کار برد.درعوض باید از accessible-table-caption-object استفاده شود.
",Ubuntu
"Accessible Table Column Header
","سرستون جدول دسترسی‌پذیری
",Ubuntu
"Is used to notify that the table column header has changed
","برای اطلاع دادن از تغیر سرستون جدول استفاده می‌شود
",Ubuntu
"Accessible Table Column Description
","شرح ستون جدول برای دسترسی‌پذیری
",Ubuntu
"Is used to notify that the table column description has changed
","برای اطلاع دادن از تغییر شرح ستون جدول استفاده می‌شود
",Ubuntu
"Accessible Table Row Header
","سرسطر جدول دسترسی‌پذیری
",Ubuntu
"Is used to notify that the table row header has changed
","برای اطلاع دادن از تغییر سرسطر جدول استفاده می‌شود
",Ubuntu
"Accessible Table Row Description
","شرح سطر جدول دسترسی‌پذیری
",Ubuntu
"Is used to notify that the table row description has changed
","برای اطلاع دادن از تغییر شرح سطر جدول استفاده می‌شود
",Ubuntu
"Accessible Table Summary
","خلاصه‌ی جدول دسترسی‌پذیری
",Ubuntu
"Is used to notify that the table summary has changed
","برای اطلاع دادن از تغییر خلاصه جدول استفاده می‌شود
",Ubuntu
"Accessible Table Caption Object
","شیء عنوان جدول برای دسترسی‌پذیری
",Ubuntu
"Is used to notify that the table caption has changed
","برای اطلاع دادن از تغییر عنوان جدول استفاده می‌شود
",Ubuntu
"Number of Accessible Hypertext Links
","تعداد پیوند‌های Hypertext دسترسی‌پذیری
",Ubuntu
"The number of links which the current AtkHypertext has
","تعداد پیوندهایی که AtkHypertext فعلی دارد
",Ubuntu
"Grouping
","Music Library
",Ubuntu
"Importing From {0}
","Video Library
",Ubuntu
"Artist
","artist
",Ubuntu
"artists
","album artist
",Ubuntu
"compilationartist
","album
",Ubuntu
"_Genre:
","of
",Ubuntu
"Track _Number:
","Automatically set disc number and count
",Ubuntu
"{0}on{1} {2}
","from {album} by {artist}"" type string, and {1} is the ""on {radio station name}
",Ubuntu
"Generation
","Color""), ""black
",Ubuntu
"Serial number
","Produced onFirmwareCapabilities""), String.Join ("",
",Ubuntu
"Automatic (Geo IP detection)
","Canada (amazon.ca)""), ""CA
",Ubuntu
"a_BAR_an_BAR_the
",", The
",Ubuntu
"Add a new Last.fm radio station
","Fans of"" or ""Similar to
",Ubuntu
"Listen to {0} Station
","Fans of"" or ""Similar to
",Ubuntu
"Import ‟{0}”
","Audio CD"" or ""DVD
",Ubuntu
"Ejecting {0}...
","Audio CD"" or ""DVD
",Ubuntu
"Cancel all podcast downloads?
","<control><shift>U
",Ubuntu
"Disk Usage Analyzer
","تحلیل‌گر فضای مصرفی دیسک
",Ubuntu
"Check folder sizes and available disk space
","بررسی اندازه پوشه‌ها و فضای دیسک در دسترس
",Ubuntu
"storage;space;cleanup;
","storage;space;cleanup;ذخیره;فضا;پاکسازی;
",Ubuntu
"Excluded partitions URIs
","آدرس افرازهای مستثنی شده
",Ubuntu
"A list of URIs for partitions to be excluded from scanning.
","فهرستی از آدرس‌های افرازها که از پویش مستثنی شوند.
",Ubuntu
"Active Chart
","نمودار فعال
",Ubuntu
"Which type of chart should be displayed.
","چه نوع نموداری باید نمایش داده شود.
",Ubuntu
"Window size
","اندازه پنجره
",Ubuntu
"The initial size of the window
","اندازه ابتدایی پنجره
",Ubuntu
"Window state
","وضعیت پنجره
",Ubuntu
"The GdkWindowState of the window
","‫GdkWindowState پنجره
",Ubuntu
"Print version information and exit
","چاپ اطلاعات نسخه و خروج
",Ubuntu
"- Disk Usage Analyzer
","- تحلیل‌گر فضای مصرفی دیسک
",Ubuntu
"Maximum depth
","بیشینه عمق
",Ubuntu
"The maximum depth drawn in the chart from the root
","بیشنه‌ی عمق کشیده شده در نمودار از طریق ریشه
",Ubuntu
"Chart model
","مدل نمودار
",Ubuntu
"Set the model of the chart
","تنظیم مدل نمودار
",Ubuntu
"Chart root node
","ریشه گره‌ی نمودار
",Ubuntu
"Set the root node from the model
","تنظیم ریشه‌ی گره نمودار از مدل
",Ubuntu
"_Move to parent folder
","_انتقال به پوشه‌ی والد
",Ubuntu
"Zoom _in
","_بزرگ‌نمایی
",Ubuntu
"Zoom _out
","_کوچک‌نمایی
",Ubuntu
"Home folder
","پوشه‌ی خانه
",Ubuntu
"Main volume
","جلد اصلی
",Ubuntu
"Scan Folder…
","پویش پوشه...
",Ubuntu
"Scan Remote Folder…
","پویش پوشه دوردست...
",Ubuntu
"Devices and locations
","دستگاه‌ها و محل‌ها
",Ubuntu
"Close
","بستن
",Ubuntu
"Folder
","پوشه
",Ubuntu
"Usage
","نحوه استفاده
",Ubuntu
"Size
","اندازه
",Ubuntu
"Contents
","محتویات
",Ubuntu
"Rings Chart
","نمودار حلقه‌ای
",Ubuntu
"Treemap Chart
","نمودار درختی
",Ubuntu
"_Open Folder
","با_ز کردن پوشه
",Ubuntu
"_Copy Path to Clipboard
","_رونوشت از مسیر
",Ubuntu
"Mo_ve to Trash
","_انداختن در زباله‌دان
",Ubuntu
"_Help
","_راهنما
",Ubuntu
"_About
","_درباره
",Ubuntu
"_Quit
","_خروج
",Ubuntu
"_Analyzer
","_تحلیل‌گر
",Ubuntu
"_Scan Home
","_پویش خانه
",Ubuntu
"Scan F_older…
","پویش _پوشه...
",Ubuntu
"Scan Remote Fo_lder…
","پویش پ_وشه دوردست...
",Ubuntu
"_View
","_نمایش
",Ubuntu
"_Reload
","_بارگیری مجدد
",Ubuntu
"_Expand All
","_باز کردن همه
",Ubuntu
"_Collapse All
","_جمع‌کردن همه
",Ubuntu
"Select Folder
","یک پوشه انتخاب کنید
",Ubuntu
"Could not analyze volume.
","پویش جلد امکان‌پذیر نبود.
",Ubuntu
"Baobab
","بائوباب
",Ubuntu
"A graphical tool to analyze disk usage.
","یک ابزار گرافیکی برای تحلیل فضای مصرفی دیسک.
",Ubuntu
"translator-credits
","آرش موسوی <mousavi\.arash\@gmail\.com> روزبه پورنادر <roozbeh\@farsiweb\.info> بهنام اسفهبد <behnam\@farsiweb\.info> سارا خلعت‌بری <sara\@bamdad\.org> میلاد زکریا <meelad\@farsiweb\.info> ساناز شاه‌رکنی <sanaz\.shahrokni\@gmail\.com> Launchpad Contributions: Arash https://launchpad.net/~mousavi-arash
",Ubuntu
"Could not scan folder ""%s"" or some of the folders it contains.
","نمی‌توان پوشه «%s» و یا تعدادی از پوشه‌های درونش را پایش کرد.
",Ubuntu
"""%s"" is not a valid folder
","پوشه‌ی «%s» معتبر نیست
",Ubuntu
"Could not analyze disk usage.
","تحلیل فضای مصرفی دیسک ممکن نیست.
",Ubuntu
"syntax error: cannot back up
","خطای دستوری: نمی‌توان پشتیبان گرفت
",Ubuntu
"syntax is ambiguous
","نگارش دستوری مبهم است
",Ubuntu
"syntax error
","خطای دستوری
",Ubuntu
"syntax error, unexpected %s
","خطای دستوری، %s غیرمنتظره
",Ubuntu
"syntax error, unexpected %s, expecting %s
","خطای دستوری، %s غیرمنتظره، انتظار %s می‌رفت
",Ubuntu
"syntax error, unexpected %s, expecting %s or %s
","خطای دستوری، %s غیرمنتظره، انتظار %s یا %s می‌رفت
",Ubuntu
"syntax error, unexpected %s, expecting %s or %s or %s
","خطای دستوری، %s غیرمنتظره، انتظار %s یا %s یا %s می‌رفت
",Ubuntu
"syntax error, unexpected %s, expecting %s or %s or %s or %s
","خطای دستوری، %s غیرمنتظره، انتظار %s یا %s یا %s یا %s می‌رفت
",Ubuntu
"memory exhausted
","حافظه‌ی خراب
",Ubuntu
"OK
","تأیید
",Ubuntu
"Cancel
","انصراف
",Ubuntu
"Reboot
","راه‌اندازی مجدّد
",Ubuntu
"Continue
","ادامه
",Ubuntu
"Boot Options
","گزینه‌های راه‌اندازی
",Ubuntu
"Exiting...
","درحال خروج…
",Ubuntu
"You are leaving the graphical boot menu and starting the text mode interface.
","شما در حال ترک فهرست گرافیکی راه اندازی و شروع حالت واسط متنی هستید.
",Ubuntu
"Help
","راه‌نما
",Ubuntu
"Boot loader
","بارکننده‌ی راه‌اندازی
",Ubuntu
"I/O error
","خطای ورودی/خروجی
",Ubuntu
"Change Boot Disk
","دیسک راه انداز را تعویض کنید
",Ubuntu
"Insert boot disk %u.
","دیسک راه انداز %u را وارد کنید.
",Ubuntu
"This is boot disk %u. Insert boot disk %u.
","این دیسک راه انداز %u است. دیسک راه انداز %u را وارد کنید.
",Ubuntu
"This is not a suitable boot disk. Please insert boot disk %u.
","این دیسک راه انداز مناسبی نیست. لطفاً دیسک راه انداز %u را وارد کنید.
",Ubuntu
"Password
","گذرواژه
",Ubuntu
"Enter your password:
","گذرواژه‌تان را وارد کنید:
",Ubuntu
"DVD Error
","خطای DVD
",Ubuntu
"This is a two-sided DVD. You have booted from the second side. Turn the DVD over then continue.
","این یک DVD دو طرفه است. شما از طرف دوم راه اندازی کرده اید. DVD را از جهت دیگرش قرار داده و ادامه دهید.
",Ubuntu
"Power Off
","خاموش کردن
",Ubuntu
"Halt the system now?
","سامانه هم اکنون متوقّف شود؟
",Ubuntu
"Password
","گذرواژه
",Ubuntu
"Other Options
","دیگر انتخاب‌ها
",Ubuntu
"Language
","زبان
",Ubuntu
"Keymap
","نگاشت کلید
",Ubuntu
"Modes
","حالت‌ها
",Ubuntu
"Normal
","معمولی
",Ubuntu
"Expert mode
","حالت حرفه‌ای
",Ubuntu
"Accessibility
","دست‌رسی پذیری
",Ubuntu
"None
","هیچ‌کدام
",Ubuntu
"High Contrast
","سایه‌روشن بالا
",Ubuntu
"Magnifier
","بزرگ‌نما
",Ubuntu
"Screen Reader
","صفحه خوان
",Ubuntu
"Braille Terminal
","پایانه‌ی بریل
",Ubuntu
"Keyboard Modifiers
","تصحیح کننده‌ی صفحه‌کلید
",Ubuntu
"On-Screen Keyboard
","صفحه‌کلید روی صفحه
",Ubuntu
"Motor Difficulties - switch devices
","نارسایی‌های عضلانی - ابزارهای کلیدی
",Ubuntu
"Everything
","همه چیز
",Ubuntu
"^Try Ubuntu without installing
","^امتحان اوبونتو بدون نصب کردن
",Ubuntu
"^Try Kubuntu without installing
","^امتحان کوبونتو بدون نصب کردن
",Ubuntu
"^Try Edubuntu without installing
","^امتحان ادوبونتو بدون نصب کردن
",Ubuntu
"^Try Xubuntu without installing
","^امتحان زوبونتو بدون نصب کردن
",Ubuntu
"^Try Ubuntu MID without installing
","^امتحان اوبونتو MID بدون نصب کردن
",Ubuntu
"^Try Ubuntu Netbook without installing
","^امتحان اوبونتو نت‌بوک بدون نصب کردن
",Ubuntu
"^Try Kubuntu Netbook without installing
","^امتحان کوبونتو نت‌بوک بدون نصب کردن
",Ubuntu
"^Try Lubuntu without installing
","^امتحان لوبونتو بدون نصب کردن
",Ubuntu
"^Start Kubuntu
","^شروع کوبونتو
",Ubuntu
"Use driver update disc
","استفاده از دیسک به‌روزرسان راه‌انداز
",Ubuntu
"^Install Ubuntu in text mode
","^نصب اوبونتو در حالت متنی
",Ubuntu
"^Install Kubuntu in text mode
","^نصب کوبونتو در حالت متنی
",Ubuntu
"^Install Edubuntu in text mode
","^نصب ادوبونتو در حالت متنی
",Ubuntu
"^Install Xubuntu in text mode
","^نصب زوبونتو در حالت متنی
",Ubuntu
"^Install Ubuntu
","^نصب اوبونتو
",Ubuntu
"^Install Kubuntu
","^نصب کوبونتو
",Ubuntu
"^Install Edubuntu
","^نصب ادوبونتو
",Ubuntu
"^Install Xubuntu
","^نصب زوبونتو
",Ubuntu
"^Install Ubuntu Server
","^نصب اوبونتو سرور
",Ubuntu
"^Multiple server install with MAAS
","^نصب چندین سرویس‌دهنده با MAAS
",Ubuntu
"^Install Ubuntu Studio
","^نصب اوبونتو استودیو
",Ubuntu
"^Install Ubuntu MID
","^نصب اوبونتو MID
",Ubuntu
"^Install Ubuntu Netbook
","^نصب اوبونتو نت‌بوک
",Ubuntu
"^Install Kubuntu Netbook
","^نصب کوبونتو نت‌بوک
",Ubuntu
"^Install Lubuntu
","^نصب لوبونتو
",Ubuntu
"Install a workstation
","نصب یک ایستگاه کاری
",Ubuntu
"Install a server
","نصب یک سرویس‌دهنده
",Ubuntu
"OEM install (for manufacturers)
","نصب OEM (برای تولیدکنندگان)
",Ubuntu
"Install a LAMP server
","نصب یک سرویس‌دهنده‌ی LAMP
",Ubuntu
"Install an LTSP server
","نصب یک سرویس‌دهنده‌ی LTSP
",Ubuntu
"Install a Diskless Image Server
","نصب یک سرویس‌دهنده‌ی تصویر بدون دیسک
",Ubuntu
"Install a command-line system
","نصب یک سامانه‌ی خطّ فرمانی
",Ubuntu
"Install a minimal system
","نصب یک سامانه‌ی حدّاقلی
",Ubuntu
"Install a minimal virtual machine
","نصب یک ماشین مجازی حدّاقلی
",Ubuntu
"^Check disc for defects
","^بررسی دیسک برای کاستی‌ها
",Ubuntu
"^Rescue a broken system
","^نجات یک سامانه‌ی از کار افتاده
",Ubuntu
"Test ^memory
","امتحان ^حافظه
",Ubuntu
"^Boot from first hard disk
","^راه اندازی از نخستین دیسک سخت
",Ubuntu
"Free software only
","فقط نرم‌افزارهای آزاد
",Ubuntu
"^Dell Automatic Reinstall
","^بازنصب خودکار Dell
",Ubuntu
"^Install Mythbuntu
","^نصب ميث‌بونتو
",Ubuntu
"^Try Mythbuntu without installing
","^امتحان میث‌بونتو بدون نصب کردن
",Ubuntu
"^Try Ubuntu Kylin without installing
","^تجربه‌ی Ubuntu Kylin بدون نصب کردن
",Ubuntu
"^Try Ubuntu Kylin Netbook without installing
","^تجربه‌ی نسخه‌ی نت‌بوک Ubuntu Kylin بدون نصب کردن
",Ubuntu
"^Install Ubuntu Kylin in text mode
","^نصب Ubuntu Kylin در حالت متنی
",Ubuntu
"^Install Ubuntu Kylin
","^نصب Ubuntu Kylin
",Ubuntu
"^Install Ubuntu Kylin Netbook
","^نصب نسخه‌ی نت‌بوک Ubuntu Kylin
",Ubuntu
"^Start Ubuntu Kylin
","شروع Ubuntu Kylin
",Ubuntu
"Brasero
","برازرو
",Ubuntu
"Disc Burner and Copier
","رونشت کننده و سوزاننده‌ی دیسک
",Ubuntu
"Create and copy CDs and DVDs
","ساخت و رونوشت از سی‌دی‌ها و دی‌وی‌دی‌ها
",Ubuntu
"Brasero Disc Burner
","سوراننده‌ی دیسک برازرو
",Ubuntu
"Brasero project file
","پرونده پروژه برازرو
",Ubuntu
"Should Nautilus extension output debug statements
","افزونه‌های ناتیلوس باید گزارشات اشکال‌زدایی را نمایش دهد
",Ubuntu
"Should Nautilus extension output debug statements. The value should be set to true if it should.
","افزونه‌های ناتیلوس باید گزارشات اشکال‌زدایی را نمایش دهد. چناچه اینچنین است، مقدار باید بر روی true تنظیم شود.
",Ubuntu
"The type of checksum used for images
","نوع مجموع مقابله‌ای (checksum) استفاده شده برای تصاویر
",Ubuntu
"Set to 0 for MD5, 1 for SHA1 and 2 for SHA256
","برای MD5 عدد 0، برای SHA1 عدد 1 و برای SHA256 عدد 2 را تنظیم کنید
",Ubuntu
"The type of checksum used for files
","نوع مجموع مقابله‌ای (Checksum) جهت استفاده برای پرونده‌ها
",Ubuntu
"Directory to use for temporary files
","شاخه‌ای جهت استفاده برای پرونده‌های موقت
",Ubuntu
"Contains the path to the directory where brasero should store temporary files. If that value is empty, the default directory set for glib will be used.
","حاوی مسیری که برازرو از آن برای ذخیره کردن پرونده‌های موقت استفاده می‌کند است. اگر مقدار آن خالی باشد، مقدار پیش‌فرضی که برای glib در نظر گرفته شده است استفاده می‌شود.
",Ubuntu
"Favourite burn engine
","موتور سوزاندن موردعلاقه
",Ubuntu
"Contains the name of the favourite burn engine suite installed. It will be used if possible.
","حاوی موتور سوزاندن موردعلاقه و نصب شد. چناچه ممکن باشد از آن استفاده می‌شود.
",Ubuntu
"White list of additional plugins to use
","فهرست سفید افزونه‌های اضافی برای استفاده
",Ubuntu
"Contains the list of additional plugins Brasero will use to burn discs. If set to NULL, Brasero will load them all.
","حاوی فهرست افزونه‌های اضافی که برازرو توسط آنها دیسک‌ها را می‌سوزاند. اگر بر روی NULL تنظیم شود، برازرو همه آنها را بارگیری می‌کند.
",Ubuntu
"Enable the ""-immed"" flag with cdrecord
","فعال‌سازی پرچم «immed-» با استفاده از cdrecord
",Ubuntu
"The last browsed folder while looking for images to burn
","آخرین پوشه‌ی مرور شده هنگام گشتن برای تصاویر جهت سوزاندن
",Ubuntu
"Contains the absolute path of the directory that was last browsed for images to burn
","حاوی میزان مطلق مسیر مرور شده قبلی برای سوزاندن تصاویر
",Ubuntu
"Enable file preview
","فعال‌سازی پیش‌نمایش پرونده
",Ubuntu
"Should brasero filter hidden files
","برازرو باید پرونده‌های مخفی را فیلتر کند
",Ubuntu
"Should brasero filter hidden files. Set to true, brasero will filter hidden files.
","برازرو باید پرونده‌های مخفی را فیلتر کند. اگر بر روی true تنظیم شود، برازرو پرونده‌های مخفی را فیلتر می‌کند.
",Ubuntu
"Replace symbolic links by their targets
","جای‌گزین کردن پیوندهای نمادین با هدف‌هایشان
",Ubuntu
"Should brasero replace symbolic links by their target files in the project. Set to true, brasero will replace symbolic links.
","برازرو باید پیوندهای نمادین را با هدف‌هایشان در پروژه جای‌گزین کند. اگر بر روی true تنظیم شود، برازرو پیوندهای نمادین رابا اهدافشان جای‌گزین می‌کند.
",Ubuntu
"Should brasero filter broken symbolic links
","برازرو باید پیوندهای نمادین خراب را فیلتر کند
",Ubuntu
"Should brasero filter broken symbolic links. Set to true, brasero will filter broken symbolic links.
","برازرو باید پیوندهای نمادین خراب را فیلتر کند. اگر بر روی true تنظیم شود، پیوندهای نمادین خراب را فیلتر می‌کند.
",Ubuntu
"The priority value for the plugin
","مقدار الویت افزونه
",Ubuntu
"Burning flags to be used
","پرچم‌های سوزاندن جهت استفاده
",Ubuntu
"The speed to be used
","سرعتی که باید استفاده شود
",Ubuntu
"Menu
","منو
",Ubuntu
"Error while blanking.
","خطا در هنگام خالی کردن.
",Ubuntu
"Blank _Again
","خالی کردن _دوباره
",Ubuntu
"Unknown error.
","خطا ناشناس
",Ubuntu
"The disc was successfully blanked.
","خالی کردن دیسک موفقیت‌آمیز بود.
",Ubuntu
"The disc is ready for use.
","دیسک آماده استفاده است.
",Ubuntu
"_Blank
","_خالی کردن
",Ubuntu
"_Fast blanking
","خالی کردن _سریع
",Ubuntu
"Disc Blanking
","درحال خالی‌کردن دیسک
",Ubuntu
"Burning CD/DVD
","در حال سوزاندن سی‌دی/دی‌وی‌دی
",Ubuntu
"The drive is busy
","دیسک‌گردان مشغول است
",Ubuntu
"Make sure another application is not using it
","مطمئن شوید که یک برنامه‌ی دیگر از آن استفاده نمی‌کند
",Ubuntu
"""%s"" cannot be unlocked
","قفل «%s» نمی‌تواند باز باشد
",Ubuntu
"No burner specified
","هیچ سوزاننده‌ای مشخص نشده
",Ubuntu
"No source drive specified
","هیچ دیسک‌گردان مرجعی مشخص نشده
",Ubuntu
"Ongoing copying process
","فرآیند رونوشت در حال پیشرفت
",Ubuntu
"The drive cannot be locked (%s)
","دیسک‌گردان را نمی‌توان قفل کرد (%s)
",Ubuntu
"The drive has no rewriting capabilities
","دیسک‌گردان قابلیت بازنویسی ندارد
",Ubuntu
"Ongoing blanking process
","یک فراروندِ جهت خالی کردن در حال اجرا است
",Ubuntu
"The drive cannot burn
","دیسک‌گردان قابل سوزاندن نیست
",Ubuntu
"Ongoing burning process
","یک فراروندِ سوزاندن در حال اجرا است
",Ubuntu
"Ongoing checksumming operation
","یک عملیات مجموع متقابل (checksumming) در حال اجرا است
",Ubuntu
"Merging data is impossible with this disc
","ادغام اطلاعات در این دیسک ممکن نیست
",Ubuntu
"Not enough space available on the disc
","فضای کافی بر روی دیسک موجود نیست
",Ubuntu
"%s (application)
","%s (برنامه)
",Ubuntu
"%s (library)
","%s (کتابخانه)
",Ubuntu
"%s (GStreamer plugin)
","%s (افزونه‌ی GStreamer)
",Ubuntu
"There is no track to burn
","هیچ شیاری جهت سوزاندن وجود ندارد
",Ubuntu
"Please install the following required applications and libraries manually and try again:
","لطفا نرم‌افزارها و کتابخانه‌های مقابل را بطور دستی نصب کنید و مجددا تلاش کنید:
",Ubuntu
"Only one track at a time can be checked
","تنها یک شیار را در هر لحظه می‌توان بررسی کرد
",Ubuntu
"No format for the temporary image could be found
","هیچ قالبی برای تصویر موقت پیدا نشدgrafted
",Ubuntu
"An internal error occurred
","یک خطای داخلی رخ داد
",Ubuntu
"Brasero notification
","اعلان برازرو
",Ubuntu
"%s (%i%% Done)
","%s (٪%Ii انجام شده)
",Ubuntu
"Creating Image
","در حال ساختن تصویر
",Ubuntu
"Burning DVD
","درحال سوزاندن دی‌وی‌دی
",Ubuntu
"Copying DVD
","درحال رونشت از دی‌وی‌دی
",Ubuntu
"Burning CD
","درحال سوزاندن سی‌دی
",Ubuntu
"Copying CD
","درحال رونوشت از سی‌دی
",Ubuntu
"Burning Disc
","درحال سوزاندن دیسک
",Ubuntu
"Copying Disc
","درحال رونوشت از دیسک
",Ubuntu
"Creating image
","در حال ساختن تصویر
",Ubuntu
"Simulation of video DVD burning
","شبیه‌سازی سوزاندن دی‌وی‌دی ویدئویی
",Ubuntu
"Burning video DVD
","درحال سوزاندن دی‌وی‌دی ویدئویی
",Ubuntu
"Simulation of data DVD burning
","شبیه‌سازی سوزاندن دی‌وی‌دی اطلاعات
",Ubuntu
"Burning data DVD
","درحال سوزاندن دی‌وی‌دی اطلاعات
",Ubuntu
"Simulation of image to DVD burning
","شبیه‌سازی سوزاندن تصویر بر روی دی‌وی‌دی
",Ubuntu
"Burning image to DVD
","درحال سوزاندن تصویر بر روی دی‌وی‌دی
",Ubuntu
"Simulation of data DVD copying
","شبیه‌سازی رونوشت از دی‌وی‌دی اطلاعات
",Ubuntu
"Copying data DVD
","درحال رونوشت از دی‌وی‌دی اطلاعات
",Ubuntu
"Simulation of (S)VCD burning
","شبیه‌سازی سوزاندن (اس)وی‌سی‌دی
",Ubuntu
"Burning (S)VCD
","درحال سوزاندن (اس)وی‌سی‌دی
",Ubuntu
"Simulation of audio CD burning
","شبیه‌سازی سوزاندن سی‌دی صوتی
",Ubuntu
"Burning audio CD
","سوزاندن سی‌دی صوتی
",Ubuntu
"Simulation of data CD burning
","شبیه‌سازی سوزاندن سی‌دی اطلاعات
",Ubuntu
"Burning data CD
","درحال سوزاندن سی‌دی اطلاعات
",Ubuntu
"Simulation of CD copying
","شبیه‌سازی رونوشت از سی‌دی
",Ubuntu
"Simulation of image to CD burning
","شبیه‌سازی سوزاندن تصویر بر روی سی‌دی
",Ubuntu
"Burning image to CD
","سوزاندن تصویر بر روی سی‌دی
",Ubuntu
"Simulation of video disc burning
","شبیه‌سازی سوزاندن دیسک ویدئویی
",Ubuntu
"Burning video disc
","درحال سوزاندن دیسک ویدئویی
",Ubuntu
"Simulation of data disc burning
","شبیه‌سازی سوزاندن دیسک اطلاعات
",Ubuntu
"Burning data disc
","درحال سوزاندن دیسک اطلاعات
",Ubuntu
"Simulation of disc copying
","شبیه‌سازی رونوشت از دیسک
",Ubuntu
"Copying disc
","درحال رونوشت از دیسک
",Ubuntu
"Simulation of image to disc burning
","شبیه‌سازی سوزاندن تصویر بر روی دیسک
",Ubuntu
"Burning image to disc
","سوزاندن تصویر بر روی دیسک
",Ubuntu
"Please replace the disc with a rewritable disc holding data.
","لطفا دیسک را با یک دیسک با قابلیت بازنویسی و حاوی اطلاعات جای‌گزین کنید.
",Ubuntu
"Please replace the disc with a disc holding data.
","لطفا دیسک را با یک دیسک حاوی اطلاعات جای‌گزین کنید.
",Ubuntu
"Please insert a rewritable disc holding data.
","لطفا یک دیسک با قابلیت بازنویسی و حاوی اطلاعات را وارد کنید.
",Ubuntu
"Please insert a disc holding data.
","لطفا یک دیسک حاوی اطلاعات را وارد کنید.
",Ubuntu
"Please replace the disc with a writable CD with at least %i MiB of free space.
","لطفا دیسک را با یک سی‌دی با قابلیت بازنویسی، با حداقل فضای آزاد %Ii مگابایت جای‌گزنین کنید.
",Ubuntu
"Please replace the disc with a writable CD.
","لطفا دیسک را با یک سی‌دی قابل نوشتن تعویض کنید
",Ubuntu
"Please insert a writable CD with at least %i MiB of free space.
","لطفا یک سی‌دی با قابلیت نوشتن و حداقل %Ii مگابایت فضای خالی وارد کنید.
",Ubuntu
"Please insert a writable CD.
","لطفا یک سی‌دی قابل نوشتن وارد کنید
",Ubuntu
"Please replace the disc with a writable DVD with at least %i MiB of free space.
","لطفا دیسک را با یک دی‌وی‌دی با قابلیت نوشتن و حداقل %Ii مگابایت فضای خالی جای‌گزین کنید.
",Ubuntu
"Please replace the disc with a writable DVD.
","لطفا دیسک را با یک دی‌وی‌دی با قابلیت نوشتن جای‌گزین کنید.
",Ubuntu
"Please insert a writable DVD with at least %i MiB of free space.
","لطفا یک دی‌وی‌دی با قابلیت نوشتن و حداقل %Ii مگابایت فضای خالی وارد کنید.
",Ubuntu
"Please insert a writable DVD.
","لطفا یک دی‌وی‌دی قابل نوشتن وارد کنید
",Ubuntu
"Please replace the disc with a writable CD or DVD with at least %i MiB of free space.
","لطفا دیسک را با یک سی‌دی و دی‌وی‌دی با قابلیت نوشتن و حداقل %Ii مگابایت فضای خالی جای‌گزین کنید.
",Ubuntu
"Please replace the disc with a writable CD or DVD.
","لطفا دیسک را با یک سی‌دی و دی‌وی‌دی با قابلیت نوشتن جای‌گزین کنید.
",Ubuntu
"Please insert a writable CD or DVD with at least %i MiB of free space.
","لطفا یک سی‌دی یا دی‌وی‌دی قابل بازنویسی و حداقل فضای آزاد %Ii مگابایت وارد کنید.
",Ubuntu
"Please insert a writable CD or DVD.
","لطفا یک سی‌دی یا دی‌وی‌دی قابل بازنویسی وارد کنید.
",Ubuntu
"An image of the disc has been created on your hard drive. Burning will begin as soon as a writable disc is inserted.
","یک تصویر از دیسک بر روی دیسک سخت شما ایجاد شده است. سوزاندن به محض ورود یک دیسک با قابلیت نوشتن شروع می‌شود.
",Ubuntu
"A data integrity test will begin as soon as the disc is inserted.
","یک آزمایشِ صحت اطلاعات به محض ورود دیسک انجام خواهد شد.
",Ubuntu
"Please re-insert the disc in the CD/DVD burner.
","لطفا دیسک را مجددا وارد سوزاننده‌ی سی‌دی/دی‌وی‌دی کنید.
",Ubuntu
"""%s"" is busy.
","دیسک‌گردان «%s» مشغول است.
",Ubuntu
"There is no disc in ""%s"".
","هیچ دیسکی درون «%s» وجود ندارد.
",Ubuntu
"The disc in ""%s"" is not supported.
","دیسک درون «%s» پشتیبانی نمی‌شود.
",Ubuntu
"The disc in ""%s"" is not rewritable.
","دیسک درون «%s» قابل بازنویسی نیست.
",Ubuntu
"The disc in ""%s"" is empty.
","دیسک درون «%s» خالی است.
",Ubuntu
"The disc in ""%s"" is not writable.
","دیسک درون «%s» قابل نوشتن نیست.
",Ubuntu
"Not enough space available on the disc in ""%s"".
","فضای کافی بر روی دیسک درون «%s» وجود ندارد.
",Ubuntu
"The disc in ""%s"" needs to be reloaded.
","دیسک درون «%s» لازم است دوباره بار شود.
",Ubuntu
"Please eject the disc and reload it.
","لطفا دیسک را خارج و دوباره بار کنید.
",Ubuntu
