English,Persian,Source
sports services,خدمات ورزشی تحرک بدنی,infopankki
the city of turku has freeofcharge and reasonably priced sports services for people of all ages,شهرداری تورکوخدمات ورزشی تحرکی مجانی یا ارزان قیمتی را دراختیارشهروندان خود درگروه های سنی مختلف قرار میدهد,infopankki
the dedicated services for people of different ages are especially meant for those who exercise little or occasionally,خدماتی ازاین نوع که برای گروه های سنی مختلف اختصاص داده شده اند معمولٲ برای کسانی درنظرگرفته میشوند که یا تحرک کمتری داشته ویا اینکه بندرت وبطوراتفاقی فعالیت بدنی وتحرک دارند,infopankki
there are dedicated groups and services for women men senior citizens and special groups,برنامه های ورزشی تحرکی جداگانه برای زنان مردان سالمندان وگروه های مخصوص ترتیب داده میشوند,infopankki
through them you can easily try out different sports and find the hobby you like best,با شرکت دراین برنامه ها میتوان به راحتی انواع مختلف ورزش وفعالیت های بدنی را تجربه کرده وتفریح مناسب با روحیات وعلایق خودرا پیدا کرد,infopankki
there are also dedicated sports services suitable for those needing exercise,این نوع خدمات ویژه را میتوان همچنین برای گروه های محدودی ازاشخاصی که شکل خاصی ازحرکت و ورزش برایشان تجویزشده است ترتیب داد,infopankki
you can also ask for help in finding your own sports hobby from the freeofcharge sports guidance service,راهنمایی های لازم بمنظوریافتن ورزش وتحرک مناسب برای خود را میتوانید ازطریق مرکزهدایت برای یافتن امکانات ورزشی تحرکی مجانی بدست بیاورید,infopankki
tel 02 262 3232,تورکو شمارۂ تلفن 02 262 3232,infopankki
those with a senior citizens wristband or a kimmoke wristband can engage in independent exercise at a reasonable price at the citys fitness centres and swimming pools and can also enjoy culture at the citys cultural establishments,با استفاده ازدستبندهای خدماتی سالمندان و دست بند کیموکه میتوانیداز تفریحات ورزشی تحرکی خود فعال با قیمت های مناسب برخوردارشوید,infopankki
senior citizens wristband can be purchased by anyone of 65 and over,این خدمات را سالنهای ورزشی واستخرهای شنای شهربرای مشتریان خود ترتیب میدهند,infopankki
a kimmoke wristband is meant for those who are receiving basic income support and certain kela benefits,علاوه براین خدمات شما میتوانید با تهیۂ کردن دست بندهای ذکرشده ازخدمات فرهنگی ارایه داده شده درمراکزفرهنگی شهرداری نیزبهره مند شوید,infopankki
lets move finnish swedish english,سرگرمی انجام دهیمفنلاندی سویدی انگلیسی,infopankki
sports service guidancefinnish swedish,راهنمای خدمات ورزشیفنلاندی سویدی,infopankki
kimmoke wristbandfinnish swedish english,دستبند فنلاندی سویدی انگلیسی,infopankki
seniot wristband and cardfinnish swedish english,دستبند و کارت سالمندانفنلاندی سویدی انگلیسی,infopankki
sports clubs,انجمن ها وتیم های ورزشی تحرک بدنی,infopankki
turku has more than 300 clubs and societies organising sport,درشهرتورکو بیش از 300 انجمن وتیم درحوزۂ فعالیت های ورزشی تحرک بدنی وجود دارد,infopankki
clubs and societiesfinnish swedish,انجمن ها و اتحادیه هافنلاندی سویدی,infopankki
multicultural sports services,خدمات ورزشی تحرک بدنی چند فرهنگی,infopankki
there are different multicultural sports clubs available to children and young people that are easy to join,برای استفادۂ کودکان وجوانان کلوبهای ورزشی تحرکی متنوع وچند فرهنگی ای وجود دارند که همراه شدن وشرکت در فعالیت های انها بسیارساده وراحت میباشد,infopankki
the clubs are meant for all turku residents,سالنهای فعالیت این کلوبها برای استفادۂ تمام شهروندان تورکودرنظرگرفته شده است,infopankki
for adults there are separate fitness centre and swimming times available for women and men,برای زنان ومردان بزرگسال نیزامکانات ورزشی تحرکی درنوبتهای جداگانه درسالنهای بدنسازی ویا استخرشنا مهیا میباشند,infopankki
in addition to general support services there are also different seasonal sports groups available for immigrants such as fitness centre activity ball games skiing skating dance courses for trying out different sports and hiking,غیرازخدمات ورزشی تحرکی عمومی برای مهاجرین ساکن شهرگروه های تربیت بدنی مختلفی به شکل دوره ای فصلی ترتیب داده میشوند به عنوان مثال میتوان از فعالیت سالن های بدنسازی تیم های ورزش با توپ اسکی پاتیناژ اموزش رقص کورسهای تجربۂ رشته های ورزشی مختلف وسفرهای تفرحی گروهی نام برد,infopankki
sports for immigrantsfinnish swedish english,ورزش برای مهاجرینفنلاندی سویدی انگلیسی,infopankki
hobbies for children and young people,تفریحات سالم برای کودکان وجوانان,infopankki
the city organises many different kinds of courses club and group activity for children and young people,شهرداری تورکوبرای استفادۂ کودکان وجوانان کورسها کلوبها وفعالیت های گروهی مختلفی را ترتیب میدهد,infopankki
on offer are among other things theatre music handicraft and sports groups that convene regularly as well as open activity in which anyone can participate,این موارد از جمله عبارتند ازگروه های تفریحی فعال وبطورادامه داری دورهم جمع شونده ای دررشته های تیاتر موزیک کارهای دستی و ورزش وتربیت بدنی بوده که شامل فعالیت های گروهی بازنیزمیگردد میباشند وهرکسی میتواند درانها شرکت بکند,infopankki
many private art schools and societies also teach art and offer opportunities to engage in it,امکانات مربوط به تفریحات هنری واموزش هنر توسط مدارس خصوصی متعدد ویا انجمن های هنری مختلف ارایه میگردند,infopankki
turkus museums libraries and art establishments also offer plenty of events and cultural activity targeted at children and families with children,بعلاوه موزه ها کتابخانه ها ونهادهای هنری متعلق به شهرداری تورکوهم برنامه های هنری وفرهنگی متنوع وفراوانی را برای استفادۂ کودکان وخانواده های صاحب اولاد ترتیب میدهند,infopankki
lue lisaa hobbies for children and young people,برای اطلاعات بیشتر فعالیتهای اوقات فراغت کودکان و جوانان,infopankki
sports for children and young people,خدمات مربوط به تحرک وفعالیت های بدنی کودکان وجوانان,infopankki
sports arranged for schoolage children by turku sports service centre and turku sports clubs,خدمات ترتیب داده شده به کودکان دبستانی توسط مرکزفعالیت های ورزشی تحرکی تورکو وتیمها وانجمن های ورزشی فعال دراین شهر,infopankki
in the childrens sport wonderlands children aged 1 to 12 years in play and exercise with an adult,ورزش وتحرک کودکان در کودکان 1 الی 12 ساله میتوانند به همراه بزرگسالان به ورزش وفعالیت های بدنی بپردازند,infopankki
the wonderlands are held on sundays at nine different places in turku,مناسبتهای موسوم به ایهمه ما روزهای یکشنبۂ هرهفته در9 منطقۂ مختلف شهرتورکو برگزارمیشوند,infopankki
the service is freeofcharge,استفاده ازاین خدمات مجانی میباشد,infopankki
lapset liikkeelle is is a freeofcharge sports service for children aged 7 to 12,استفاده ازبرنامه های گروه ورزشی تحرکی ای بنام کودکان درحرکت برای کودکان 7 الی 12 ساله مجانی میباشد,infopankki
mihi offers freeofcharge exercise to young people aged 13 to 19 living in the region,می هی نام گروه ورزشی تحرکی ای میباشد که برای جوانان 13 الی 19 ساله برنامه های مجانی ترتیب میدهد,infopankki
you can find more information on the website,اطلاعات بیشتردربارۂ فعالیت های این گروه را میتوانید ازصفحۂ اینترنتی ان پیدا بکنید,infopankki
the adventure play park seikkailupuisto is an activity centre for children and families situated in kupittaa park kupittaankatu 2,مرکزفعالیتهای ورزشی تحرکی مختص کودکان وخانواده ها بنام پارک ماجراجویی که درپارک کوپیتا ادرس 2 قراردارد,infopankki
it is open all year round,این پارک درتمام مدت سال فعال میباشد,infopankki
in summer the parks play equipment swings climbing frames and traffic park offer a wealth of different possibilities for playing outdoors,امکاناتی مانند اسباب بازی ها تاب بازی ها لوازم صعود به جاهای مرتفع وپارک ترافیک فرصتی مناسب برای فعالیت های ورزشی تحرکی چند جانبه را درفصل تابستان فراهم می نمایند,infopankki
in winter different club and theatre activity is held in the parks indoor premises,درطول ماه های فصل زمستان درمکانهای سرپوشیدۂ این پارک فعالیت هایی مانند تیاتروکلوبهای مختلف دیگرترتیب داده میشود,infopankki
the activity of the adventure play park is primarily directed at children of 0 to 14 years and their families,فعالیت های متنوع پارک ماجراجویی برای کودکان کمتراز 14 سال وخانواده های دارای کودک اختصاص دارند,infopankki
the sports wonderland for kidsfinnish swedish english,سرزمین عجایب ورزش کودکانفنلاندی سویدی انگلیسی,infopankki
children on the movefinnish swedish,کودکن در حرکتفنلاندی سویدی,infopankki
sports for children young people and familiesfinnish swedish,ورزش برای کودکان نوجوانان و خانوادهفنلاندی سویدی,infopankki
adventure park seikkailupuistofinnish swedish,پارک ماجراجویی فنلاندی سویدی,infopankki
youth spaces and youth services,خانه های جوانان وخدمات متعلق به جوانها,infopankki
a youth space is a place dedicated to young people where 9 to 18yearolds can play do arts and crafts cook meet friends or just hang out,خانۂ جوانان عبارت است ازمحلی است که برای استفادۂ جوانان اختصاص داده شده است,infopankki
youth spaces also organise clubs excursions themed days and discos,دراین خانه ها جوانهای 9 الی 18 ساله ازامکانات لازم برای بازی کردن انجام دادن کارهای دستی اشپزی کردن ملاقات با دوستان و وقت گذرانی صرف برخوردارند,infopankki
there are many youth spaces in different districts around the city,درخانه های جوانان همچنین اقدام به ترتیب دادن کلوب های مختلف انجام مسافرتهای تفریحی دسته جمعی برگزاری برنامه های روزانه با موضوعات مشخص ودیسکومیشود,infopankki
there is always an adult supervisor present,این خانه ها درمحلات مختلف شهردایربوده ومربیان وراهنمایان امورجوانان همواره دراین مکان ها حضوردارند,infopankki
you need a youth card to be able to participate in activities,برای شرکت درفعالیت های این خانه های اختصاص داده شده به جوانان باید کارت مخصوص جوانان تهیه شود,infopankki
the card is free and can be obtained from any youth space,این کارت مجانی بوده وانرا میتوانید ازدفاترخانه های جوانان دریافت بنمایید,infopankki
the activity of vimma in the centre of total is mainly targeted at those under the age of 29,خانۂ جوانانی بنام ویما که درمرکزشهرتورکو قراردارد برای استفادۂ جوانان زیر 29 سال اختصاص داده شده است,infopankki
at vimma you can create art and take part in concerts and other events,درویما میتوانید به کارهای هنری پرداخته ویا درکنسرت ها وبرنامه های ترتیب داده شدۂ دیگرشرکت بکنید,infopankki
the building also has a cafeteria and a common room,درارتباط با این خانۂ جوانان یک قهوه خانه ومکان های دیگری برای نشستن ووقت گذرانی موجود میباشد,infopankki
young people can use the computers in the lobby of vimma where there is an internet connection free of charge,جوانان همچنین میتوانند بطورمجانی ازکامپیوترهای موجود درمحوطۂ بازتالاران استفاده بکنند این کامپیوترها مجهزبه ارتباط اینترنتی هستند,infopankki
contact information for youth art and activity centre vimma,شمارۂ تلفن 3129 262 02 ساعات فعالیت روزهای دوشنبه تا جمعه بین ساعات 9 الی 20,infopankki
tel 02 262 3129,شمارۂ تلفن 02 262 3129,infopankki
opening times monfri 9 20,ساعات فعالیت روزهای دوشنبه تا جمعه بین ساعات 9 الی 20,infopankki
email vimma,ادرس پست الکترونیکی,infopankki
monfri 930 18,روزهای دوشنبه تا جمعه ازساعت 9 30 دقیقه الی 18,infopankki
vimma is also a unit for multicultural youth work and international activity,دررابطه با خانۂ جوانان ویما همچنین بخشی بنام واحد بین المللی چند فرهنگی جوانان فعالیت دارد,infopankki
it offers young people in those working with them training and multicultural events and gives them consulting help in life management matters,این بخش ازفعالیت خانۂ جوانان ویما برای جوانانی که درارتباط با ان مشغول کاروفعالیت میباشند امکانات اموزشی وبرگزاری مراسم چند فرهنگی را فراهم کرده وهمچنین بمنظورتسلط برموضوعات وپروسه های مرتبط با زندگی خصوصی انها خدمات مشاورتی ارایه میدهد,infopankki
the units international activity promotes interaction between young people of different cultures for example by offering opportunities for international exchanges,واحد بین المللی چندفرهنگی این خانۂ جوانان با فراهم اوردن امکاناتی مانند مسافرتهای بین کشوری برای جوانان به تبادل فرهنگی بین انها درکشورهای مختلف کمک می نماید,infopankki
in vimma there is also a swedishlanguage youth space zabadak,درارتباط با این مجموعۂ فعالیتی یک خانۂ جوانان سوﺌدی زبان هم به نام زاباداک فعالیت دارد,infopankki
youth spacesfinnish swedish english,مراکز نوجوانانفنلاندی سویدی انگلیسی,infopankki
the vimma art and activity centre for youth finnish swedish english,خانه فعالیت و هنر نوجوانانفنلاندی سویدی انگلیسی,infopankki
information and advice service nuorten turku,مرکزمشاوره واطلاع رسانی تورکوی جوانان,infopankki
nuorten turku is a service open to all those under the age of 29 which provides advice and guidance about hobbies and leisure time job search and summer jobs looking for an apartment and matters concerning international opportunities,این جوانان میتوانند با مراجعه به این مرکز از راهنمایی های لازم برای یافتن مصروفیت ها وتفریحات مناسب برای اوقات فراغت خویش جستجو ویافتن کارویا کارتابستانی جستجو ویافتن مسکن مناسب برای خود ویا درمورد مسایل مربوط به موضوعات بین المللی برخوردارگردند,infopankki
nuorten turku is situated at yliopistonkatu 25 a,مرکزخدماتی تورکوی جوانان درادرس 25 واقع شده است,infopankki
you can go there at any time during opening hours without an appointment,همچنین ازطریق مرکزاطلاع رسانی پیسته میتوانید وقت خصوصی برای ملاقات رزرو کرده ویا بوسیلۂ نامۂ الکترونیکی یا ایمیل سٶالات خودرا برای انها ارسال بدارید,infopankki
at the centre you can also make your own appointment or send a question by email or facebook,این کار را میتوانید ازطریق فیس بوک هم انجام بدهید,infopankki
youth information and counselling services nuorten turkufinnish,خدمات مشاوره و اطلاعات نوجوانان تورکوی نوجوانان فنلاندی,infopankki
youthfinnish swedish english,جوانانفنلاندی سویدی انگلیسی,infopankki
senior citizens hobbies,تفریحات سالم برای اوقات فراغت سالمندان,infopankki
in turku senior citizens have their own activity organised,سالمندان شهرتورکو فعالیت های مخصوص خودشان را دارند,infopankki
for example turku residents over the age of 65 and by a senior citizens wristband which allows them to exercise at exercise places belonging to the city of turku such as swimming pools fitness centres and in the summer outdoor swimming pools,شهروندان سالمند بالای 65 سالۂ تورکومیتوانند اقدام به خریدن کارت سالمندان نموده وبا استفاده ازمزایای ان با اتوبوسهای شهری به مکانهای ورزشی تحرک بدنی شهرتورکومانند سالنهای شنا سالنهای نرمش وتربیت بدنی ویا درایام تابستان به سواحل ازاد شنا رفت وامد داشته باشند,infopankki
guided sports services and cultural services are also included in the senior citizens wristband,ارایۂ خدمات ورزشی تحرکی باحضورمربی وراهنما وخدمات فرهنگی هم ازجمله خدماتی میباشند که درمحدودۂ استفاده ازکارت سالمندی قراردارند,infopankki
lue lisaa hobbies for the elderly,برای اطلاعات بیشتر فعالیتهای اوقات فراغت افراد مسن,infopankki
senior citizensfinnish,سالمندانفنلاندی,infopankki
the loupe a multicultural team at turkus adult education centres,تیم چند فرهنگی مراکزاموزشی موسوم به دانشکده های کارگری درشهر تورکو,infopankki
the loupe offers teaching particularly in languages finnish and swedish art and skills subjects sports culture history and information technology,لووپی به فعالیت های اموزشی علی الخصوص به زبانهای فنلاندی وسوﺌدی متمرکزمیشود این اموزش ها دررشته های هنری ورشد مهارت ها ورزشی وتربیت بدنی فرهنگی تاریخ وعلوم کامپیوتری میباشند,infopankki
teaching mainly takes place in simple finnish or swedish,اکثراین تعلیمات به زبان های فنلاندی وسوﺌدی ساده وقابل فهم ارایه میشوند,infopankki
some of the teachers use english and russian to help in teaching,برخی ازمعلمین اززبانهای انگلیسی وروسی بعنوان زبان کمکی برای اموزش استفاده می نمایند,infopankki
you can get information about courses from the study programme which is published in midaugust and in december,اطلاعات مربوط به تک تک کورسهای این مٶسسۂ اموزشی را میتوانید ازطریق کتابچۂ راهنمای این مرکز که هر سال دردونوبت وبرای دو فصل اموزشی یکی دراواسط ماه هشتم ودومی درماه دوازدهم چاپ وپخش میگردد بدست بیاورید,infopankki
the loupefinnish english,فنلاندی انگلیسی,infopankki
turku adult education centrefinnish,اموزشگاه کارگران فنلاندی زبان تورکوفنلاندی,infopankki
associations multiculture in cooperation,انجمن ها فعالیتهای چند فرهنگی با همفکری وکارمشترک,infopankki
turku has associations engaged in international and multicultural work friendship societies immigrant societies and other organisations,درشهرتورکوسازمان ها وتشکیلات متعددی وجوددارند که به کاردرفعالیت های بین المللی وچند فرهنگی می پردازند انجمن های دوستی انجمن های مختلف مهاجرین وغیره نیزدرشهرتورکو به فعالیت مشغول هستند,infopankki
they organise a wide range of different activities and many kinds of services for both immigrants and finns,این تشکلات فعالیت های متنوعی را برای مهاجرین وفنلاندیها ترتیب داده وخدمات متعددی را هم برای انها ارایه میکنند,infopankki
each large immigrant organisation has its own association which acts as a cooperative body and supervisor of interests for the community,جمعیت های بزرگ مهاجرین هرکدام انجمن وتشکیلات خودرا دارند که بمثابۂ ارگان همکاری با تشکل ها وارگانهای رسمی وغیررسمی ومدافع منافع اعضا وگروه خویش عمل می نمایند,infopankki
the associations organise many different kinds of cultural and sporting activity as well as events and clubs aimed at maintaining their own culture,این انجمنها برنامه های فرهنگی و ورزشی تحرک بدنی مختلفی را سازمان داده مراسم گوناگونی را برای حفظ واشاعۂ فرهنگ واداب ورسوم خویش ترتیب داده وکلوبهایی را برای پیشبرد این منظورها تشکیل میدهند,infopankki
through these associations it is possible to contact experts of each culture and also their different representative groups,ازطریق این انجمن ها میتوان با کارشناسان فرهنگی هریک ازاین اقلیت های اجتماعی ارتباط برقرارکرده وبه گروه های مختلف هنری فرهنگی فعال دراین تشکلات دسترسی پیدا کرد,infopankki
multicultural operatorsfinnish english,فعالان چند فرهنگی در تورکوفنلاندی انگلیسی,infopankki
this page contains information about services in turku dealing with problem situations,در این صفحه اطلاعاتی در باره وضعیتهای مشکل موجود است,infopankki
other important information on the subject can be found at the page problem situations,دیگر اطلاعات مهم در باره موضوع را از صفحات وضعیتهای مشکل پیدا میکنید,infopankki
advice and guidance in problem situations,مشاوره و کمک در وضعیتهای مشکل,infopankki
mental support,حمایت روحی,infopankki
emergency situations,وضعیتهای اورژانسی,infopankki
in emergencies call the emergency number 112,در وضعیتهای اورژانسی به شماره تلفن 112 زنگ بزنید,infopankki
through the emergency number 112 you can get help in all emergency situations,از طریق شماره اورژانس 112 در همه موارد فوری و اورژانسی کمک کرده میشود,infopankki
through this number you can summon the police an ambulance or the fire brigade,از طریق شماره اورژانس میتوانید پلیس امبولانس یا مامورین اتش نشانی رابرای امدن به محل بخواهید,infopankki
you can also report an urgent need for the assistance of social services,به این شماره همچنین میتوان نیاز فوری به خدمات اجتماعی را اعلام کرد,infopankki
safety guidefinnish swedish english,راهنمای ایمنیفنلاندی سویدی انگلیسی,infopankki
social emergency services and other emergency numbers,کشیک مددکاری اجتماعی و دیگر شماره های اورژانسی,infopankki
if you urgently need the assistance of a social worker contact turku region social emergency services,در صورت داشتن احتیاج فوری به کمک مددکار اجتماعی با کشیک مددکاری اجتماعی منطقه تورکو تماس گیرید,infopankki
tel 02 262 6003 during office hours,تلفن 6003 262 02 در اوقات اداری,infopankki
in the evenings or at weekends call the emergency number 112 and you will then be connected to the social emergency services number,عصرها شبها و اخر هفته ها با شماره تلفن اورژانس تماس گیرید از طریق این شماره به کشیک مددکاری اجتماعی وصل میشوید,infopankki
the number for an oncall vet and other emergency numbers operated by the city can be found at,شماره تلفن دامپزشک کشیک و دیگر شماره های اورژانس کشیک شهر تورکو را میتوان از نشانی زیر پیدا کرد,infopankki
other emergency servicesfinnish swedish english,فنلاندی سویدی انگلیسی,infopankki
you can report an offence to the police at the police station or online at the police website,اعلام جرم و شکایت را میتوانید با مراجعه کردن به اداره پلیس یا در اینترنت و در صفحه اینترنتی پلیس انجام دهید,infopankki
southwestern finland police department,اداره پلیس جنوب غرب فنلاند,infopankki
tel 0295 440 501 switchboard,تلفن 501 440 0295 مرکز,infopankki
if you are the victim of or witness to a crime you can receive support from victim support finland,اگر خود شما قربانی جرم یا شاهد اتفاق افتادن ان شوید میتوانید از کشیک قربانی جرم دریافت کمک کنید,infopankki
victim support finland riku,کشیک قربانی جرم,infopankki
contact information tel 02 235 5055,اطلاعات تماس تلفن 5055 235 02,infopankki
southwestern finland police department finnish swedish english,اطلاعات پایگاه پلیس استان جنوب باختریفنلاندی سویدی انگلیسی,infopankki
if you have been the victim of a racist crime you can report the offence online or at a police station,اگر شما قربانی یک جرم نژاد پرستانه شده اید میتوانید در سایت اینترنتی یا در اداره پلیس اعلام جرم و شکایت کنید,infopankki
you will find the contact information on the police website,اطلاعات تماس را از صفحه اینترنتی پلیس پیدا میکنید,infopankki
reporting an offence onlinefinnish swedish english,اعلام جرم الکترونیکیفنلاندی سویدی انگلیسی,infopankki
if you suspect that you have been discriminated against in a job application or at work first try to solve the matter at the workplace,اگر شک دارید که در هنگام تقاضای کار یا در محل کار تبعیضی در مورد شما صورت گرفته کوشش کنید که در ابتداا انرا در محل کار مطرح کرده و روشن کنید,infopankki
you can for example discuss the matter with the shop steward at your workplace,میتوانید در باره این موضوع بعنوان مثال با نماینده سندیکای محل کار خودتان صحبت کنید,infopankki
if the matter can not be solved at your workplace contact the occupational safety and health administration at the regional state administrative agency of southern finland,اگر موضوع در محل کار بجایی نرسیده و حل نشود با اداره کل منطقه اداری مسیول حفاظت ایمنی و بهداشت مشاغل منطقه خودتان تماس گیرید,infopankki
contact informationfinnish swedish english sami,اطلاعات تماسفنلاندی سویدی انگلیسی سامی,infopankki
if you are being discriminated against you can ask for assistance from the ombudsman for equality,اگر تبعیضی در حق شما صورت بگیرد میتوانید از وکیل مختار برابری و تساوی کمک بگیرید,infopankki
you can find the contact information at the website of the ombudsman for equality,اطلاعات تماس را میتوانید از صفحات اینترنتی وکیل مختار برابری و تساوی پیدا کنید,infopankki
in some cases the ombudsman for equality can petition the national discrimination tribunal of finland,وکیل مختار برابری و تساوی میتواند در شرایط و مواردی درخواست رسیدگی به موضوع را از هییت تبعیض و تمایز کند,infopankki
this tribunal can for example forbid the discrimination and order the guilty party to pay a fine,هییت تبعیض و تمایز میتواند بعنوان مثال تبعیض و تمایز را منع کرده و تهدید به جریمه کردنرا جهت موثر ساختن موضوع مقرر کند,infopankki
contact information finnish swedish english,اطلاعات تماسفنلاندی سویدی انگلیسی,infopankki
discrimination and racism,تبعیض و راسیسم,infopankki
if there are problems with your residence permit or something is unclear you can contact the finnish immigration service,اگر شما مشکلاتی یا مسایل نامشخصی در مورد اجازه اقامت دارید میتوانید با اداره کل مهاجرت تماس گیرید,infopankki
finnish immigration service point,مرکز خدماتی اداره کل مهاجرت 8,infopankki
open monwed and fri 800 am 415 pm,اوقات باز بودن دوشنبه تا چهارشنبه و جمعه از ساعت 8 تا 15 16,infopankki
closed on thursdays,پنجشنبه ها تعطیل است,infopankki
the finnish refugee advice centre is a nongovernmental organisation that provides legal aid and advice to asylum seekers refugees and other foreigners in finland,شرکت ثبت شده مشاورات پناهندگی یک سازمان مدنی و غیر دولتی است که مشاورات و کمکهای حقوقی را به پناهجویان پناهندگان و دیگر اتباع خارجی مقیم فنلاند ارایه میکند,infopankki
the centre does not have a branch in turku but you can call them at 09 2313 9325 on any week day between 10 am and 12 noon,شرکت مشاورات پناهندگی دفتر و محل کاری در تورکو ندارد اما میتوانید به شماره مشاوراتی,infopankki
finnish immigration servicefinnish swedish english,اطلاعات تماس اداره مهاجرتفنلاندی سویدی انگلیسی,infopankki
contact informationfinnish swedish english,فنلاندی سویدی انگلیسی,infopankki
residence permit problems,مشکلات اجازه اقامت,infopankki
if you urgently need the assistance of the police call the emergency number 112,در صورت داشتن نیاز به کمک فوری پلیس در وضعیت اورژانسی به شماره اورژانس 112 زنگ بزنید,infopankki
if a member of your family is using violence against you or threatening to do so you can obtain help from a shelter,اگر فردی از اعضای خانواده خودتان مرتکب خشونت بر علیه شما میشود یا شما را تهدید به استفاده ازخشونت میکند میتوانید به خانه امن بروید,infopankki
turun ensi ja turvakoti ry turku mother and child home and shelter association contact information,اطلاعات تماس با خانه اول و امن,infopankki
tel 02 513 4150,تلفن 4150 513 02,infopankki
you can find more information about matters concerning violent situations at the associations website,کسب اطلاعات بیشتر مربوط به وضعیتهای تعدی و خشونت از صفحات اینترنتی خانه امن,infopankki
you can also obtain support and advice from social emergency services which is part of the city of turku welfare division,کمک و مشاورات را همچنین میتوانید از کشیک مددکاری اجتماعی خدمات رفاهی دریافت کنید,infopankki
contact information for social emergency services,اطلاعات تماس با کشیک مددکاری اجتماعی,infopankki
tel 02 262 6003,تلفن 6003 262 02,infopankki
after 400 pm and at weekends please call the emergency number 112,بعد از ساعت 00 16 و اخر هفته ها به مرکز اورژانس به شماره 112 زنگ بزنید,infopankki
problems in marriage and relationships,مشکلات زندگی زناشویی توام با ازدواج و یا بدون داشتن ازدواج,infopankki
help for men on how to end violencefinnish,کمک جهت پایان دادن به خشونت برای مردهافنلاندی,infopankki
a public health nurse at a childrens clinic will give advice in matters relating to the health growth and development of young children,در باره مسایل و موضوعات مربوط به تندرستی یا رشد و توسعه کودک خردسال پرستار مرکز مشاورات بهداشتی کودکان شما را راهنمایی و به شما مشاوره میدهد,infopankki
in problems relating to schoolage children school nurses welfare officers and psychologists will help,پرستارها مددکارهای اجتماعی و روانشناسهای مدارس در موارد مربوط به مشکلات کودکان دانش اموز کمک میکنند,infopankki
submitting a child welfare notification in turku,اعلام گزارش حمایت از کودکان در تورکو,infopankki
a child welfare notification is submitted when there is concern about the childs health and wellbeing,هنگامی گزارش حمایت از کودکان کرده میشود که دلیلی نگران کننده در باره سلامتی و رفاه کودک وجود داشته باشد,infopankki
a notification is always submitted if,گزارش حمایت از کودکان را همیشه باید انجام داد اگر,infopankki
a child is abused or,کودک کتک زده میشود یا,infopankki
there is violence between the parents in a family with children,در خانواده بچه دار روابط خشونت امیزی میان زن و شوهر وجود دارد,infopankki
the notification is submitted,کردن گزارش,infopankki
to the city of turku welfare division social emergency services tel 02 2626 003 during office hours 830 am 1530 pm,گزارش حمایت از کودکان به کشیک مددکاری اجتماعی خدمات رفاهی شهر تورکو به تلفن 003 2626 02 در اوقات اداری از ساعت 30 08 تا 30 15,infopankki
to the emergency centre 112 in the evenings or at weekends,عصرها شبها و اخر هفته ها به شماره 112 مرکز اورژانس مرکز اورژانس گزارش را به کشیک مددکاری اجتماعی شهر تورکو هدایت میکند,infopankki
the emergency centre will direct the notification to turku region social emergency services,توسط نامه کشیک مددکاری اجتماعی تورکو به ادرس 364,infopankki
childrens and young peoples problems,مشکلات کودکان و جوانان,infopankki
lastenneuvolapalvelutfinnish swedish,خدمات مرکز راهنمایی بهداشت کودکانفنلاندی سویدی,infopankki
young peoples outpatients clinic,پلی کلینیک جوانان,infopankki
the children and young peoples outpatients clinic is meant for young turku residents under the age of 18 who are worried about the use of or experimentation with intoxicants,پلی کلینیک جوانان زیر مجموعه ای از پلی کلینیک کودکان و جوانان میباشد که به جوانان زیر سن 18 سال ساکن تورکو اختصاص داده شده است یعنی به ان جوانانی که موجبات نگرانی در باره انها نسبت به استفاده از سوا مصرف مواد نشیگی اور یا امتحان ان مواد وجود دارد,infopankki
the clinic can be contacted either by the young person himherself a parent or an official body,تماس با این پلی کلینیک میتواند از طرف خود جوان یکی از والدین او یا مقام رسمی اداری انجام گیرد,infopankki
contact information for the children and young peoples outpatients clinic,اطلاعات تماس با پلی کلینیک کودکان و جوانان,infopankki
appointment booking tel 02 266 1157 monfri 830 1100 am and 1200 noon 200 pm,رزرو وقت با تلفن 1157 266 02 روزهای دوشنبه تا جمعه از ساعت 30 08 تا 00 11 و 00 12 تا 00 14,infopankki
children and youth outpatient clinicfinnish swedish,کلینیک کودکان و نوجوانانفنلاندی سویدی,infopankki
if you are a young person between the ages of 12 and 19 and you have problems for example at home at school or within your group of friends you can contact the finnish red cross emergency youth shelter,اگر جوانی 19 12 ساله میباشی و مشکلاتی بعنوان مثال در خانه مدرسه یا گروه دوستان خودت داری میتوانی با خانه امن جوانان صلیب سرخ فنلاند تماس بگیری,infopankki
the youth shelter will give you a place where you can discuss and temporary overnight accommodation,از خانه جوانان میتوانی کمک مشاوراتی و مذاکره و مکان موقتی برای بیتوته شب دریافت کنی,infopankki
contact information for the emergency youth shelter,اطلاعات تماس با خانه امن جوانان,infopankki
turku emergency youth shelterfinnish swedish english,خانه امن جوانان تورکوفنلاندی سویدی انگلیسی,infopankki
komppi outreach youth work,اژانس کارهای جوانان,infopankki
outreach youth work helps young people between the ages of 18 and 29 who face challenges in their life for example unemployment homelessness or loneliness,اژانس کارهای جوانان ارایه خدمات به جوانان 19 18 ساله ای میکند که در زندگی خودشان داری مشکلاتی مانند مثلا بیکاری بی خانمانی یا تنهایی میباشند,infopankki
